game_id,play_id,season,week,posteam,defteam,play_type,epa,source_posteam,source_defteam,snapshot_id
2025_04_BAL_KC,2597.0,2025,4,KC,BAL,pass,2.043358097434975,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,2623.0,2025,4,KC,BAL,extra_point,0.06757300310763314,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,2638.0,2025,4,BAL,KC,kickoff,0.2967862798832357,BAL,KC,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,2678.0,2025,4,BAL,KC,run,-0.04697282239794731,BAL,KC,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,2700.0,2025,4,BAL,KC,run,0.8022812132257968,BAL,KC,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,2722.0,2025,4,BAL,KC,pass,1.5812057250877842,BAL,KC,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,2752.0,2025,4,BAL,KC,pass,1.038647422741633,BAL,KC,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,2777.0,2025,4,BAL,KC,run,-0.03549641201971099,BAL,KC,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,2799.0,2025,4,BAL,KC,run,-0.24633712193462998,BAL,KC,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,2826.0,2025,4,BAL,KC,pass,-1.4851565755884821,BAL,KC,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,2846.0,2025,4,BAL,KC,field_goal,0.2056789117846365,BAL,KC,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,2866.0,2025,4,KC,BAL,kickoff,1.546684189233929,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,2906.0,2025,4,KC,BAL,pass,0.24996111448854208,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,2931.0,2025,4,KC,BAL,pass,-0.5559871273580939,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,2956.0,2025,4,KC,BAL,run,1.185801540967077,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,2978.0,2025,4,KC,BAL,run,-0.5099787515355274,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,3000.0,2025,4,KC,BAL,pass,1.3992522635962814,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,3025.0,2025,4,KC,BAL,pass,0.5275745191029273,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,3050.0,2025,4,KC,BAL,run,-0.46650044014677405,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,3074.0,2025,4,KC,BAL,no_play,-0.6055829454562627,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,3115.0,2025,4,KC,BAL,run,-1.1255541479913518,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
